Log Sequence 1: [point_score: 0.0, order_score: 3.0, env_score: 4.0]
Log Sequence 2: [point_score: 0.0, order_score: 3.0, env_score: 4.0]
Log Sequence 3: [point_score: 0.0, order_score: 0.18295642066776915, env_score: 0.0]
Log Sequence 4: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 5: [point_score: 0.0, order_score: 5.0, env_score: 12.0]
Log Sequence 6: [point_score: 0.0, order_score: 3.0, env_score: 0.0]
Log Sequence 7: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 8: [point_score: 0.0, order_score: 1.0, env_score: 8.0]
Log Sequence 9: [point_score: 10.0, order_score: 0.0, env_score: 12.0]
Log Sequence 10: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 11: [point_score: 0.0, order_score: 2.249918871764328, env_score: 4.0]
Log Sequence 12: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 13: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 14: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 15: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 16: [point_score: 0.0, order_score: 3.0, env_score: 8.0]
Log Sequence 17: [point_score: 0.0, order_score: 0.009918871764327642, env_score: 0.0]
Log Sequence 18: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 19: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 20: [point_score: 0.0, order_score: 1.1040652563720763, env_score: 4.0]
Log Sequence 21: [point_score: 0.0, order_score: 3.0302810642657056, env_score: 0.0]
Log Sequence 22: [point_score: 0.0, order_score: 3.0099188717643277, env_score: 8.0]
Log Sequence 23: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 24: [point_score: 0.0, order_score: 4.0, env_score: 12.0]
Log Sequence 25: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 26: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 27: [point_score: 0.0, order_score: 4.0, env_score: 0.0]
Log Sequence 28: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 29: [point_score: 0.0, order_score: 4.0, env_score: 4.0]
Log Sequence 30: [point_score: 0.0, order_score: 2.1829564206677694, env_score: 4.0]
Log Sequence 31: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 32: [point_score: 0.0, order_score: 1.0, env_score: 4.0]
Log Sequence 33: [point_score: 0.0, order_score: 2.0099188717643277, env_score: 4.0]
Log Sequence 34: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 35: [point_score: 0.0, order_score: 4.0, env_score: 0.0]
Log Sequence 36: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 37: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 38: [point_score: 0.0, order_score: 1.2081305127441526, env_score: 4.0]
Log Sequence 39: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 40: [point_score: 0.0, order_score: 1.0, env_score: 4.0]
Log Sequence 41: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 42: [point_score: 0.0, order_score: 3.0302810642657056, env_score: 0.0]
Log Sequence 43: [point_score: 0.0, order_score: 3.966666666666667, env_score: 8.0]
Log Sequence 44: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 45: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 46: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 47: [point_score: 0.0, order_score: 3.0, env_score: 8.0]
Log Sequence 48: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 49: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 50: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 51: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 52: [point_score: 0.0, order_score: 1.1829564206677692, env_score: 0.0]
Log Sequence 53: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 54: [point_score: 0.0, order_score: 1.0, env_score: 4.0]
Log Sequence 55: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 56: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 57: [point_score: 0.0, order_score: 4.0, env_score: 8.0]
Log Sequence 58: [point_score: 0.0, order_score: 0.0, env_score: 4.0]
Log Sequence 59: [point_score: 0.0, order_score: 4.0, env_score: 4.0]
Log Sequence 60: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 61: [point_score: 0.0, order_score: 5.0, env_score: 4.0]
Log Sequence 62: [point_score: 0.0, order_score: 1.0099188717643277, env_score: 0.0]
Log Sequence 63: [point_score: 0.0, order_score: 3.0, env_score: 4.0]
Log Sequence 64: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 65: [point_score: 0.0, order_score: 4.0, env_score: 12.0]
Log Sequence 66: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 67: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 68: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 69: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 70: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 71: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 72: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 73: [point_score: 0.0, order_score: 2.0302810642657056, env_score: 0.0]
Log Sequence 74: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 75: [point_score: 0.0, order_score: 3.0, env_score: 4.0]
Log Sequence 76: [point_score: 0.0, order_score: 0.009918871764327642, env_score: 0.0]
Log Sequence 77: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 78: [point_score: 0.0, order_score: 0.02036219250137814, env_score: 0.0]
Log Sequence 79: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 80: [point_score: 0.0, order_score: 5.0, env_score: 0.0]
Log Sequence 81: [point_score: 0.0, order_score: 3.0, env_score: 0.0]
Log Sequence 82: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 83: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 84: [point_score: 0.0, order_score: 4.0, env_score: 0.0]
Log Sequence 85: [point_score: 0.0, order_score: 3.0, env_score: 4.0]
Log Sequence 86: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 87: [point_score: 0.0, order_score: 4.0, env_score: 4.0]
Log Sequence 88: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 89: [point_score: 0.0, order_score: 3.0, env_score: 0.0]
Log Sequence 90: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 91: [point_score: 0.0, order_score: 4.104065256372076, env_score: 0.0]
Log Sequence 92: [point_score: 0.0, order_score: 2.0, env_score: 0.0]
Log Sequence 93: [point_score: 0.0, order_score: 3.0, env_score: 4.0]
Log Sequence 94: [point_score: 0.0, order_score: 1.0203621925013782, env_score: 0.0]
Log Sequence 95: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 96: [point_score: 0.0, order_score: 1.2236808056705255, env_score: 4.0]
Log Sequence 97: [point_score: 0.0, order_score: 3.0, env_score: 0.0]
Log Sequence 98: [point_score: 0.0, order_score: 1.0, env_score: 4.0]
Log Sequence 99: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 100: [point_score: 0.0, order_score: 2.020362192501378, env_score: 8.0]
Log Sequence 101: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 102: [point_score: 0.0, order_score: 0.0, env_score: 0.0]
Log Sequence 103: [point_score: 0.0, order_score: 1.1928752924320967, env_score: 0.0]
Log Sequence 104: [point_score: 0.0, order_score: 1.0203621925013782, env_score: 12.0]
Log Sequence 105: [point_score: 0.0, order_score: 3.0, env_score: 0.0]
Log Sequence 106: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 107: [point_score: 0.0, order_score: 1.1040652563720763, env_score: 0.0]
Log Sequence 108: [point_score: 0.0, order_score: 1.0, env_score: 4.0]
Log Sequence 109: [point_score: 0.0, order_score: 0.02036219250137814, env_score: 0.0]
Log Sequence 110: [point_score: 0.0, order_score: 2.0099188717643277, env_score: 0.0]
Log Sequence 111: [point_score: 0.0, order_score: 3.249918871764328, env_score: 0.0]
Log Sequence 112: [point_score: 0.0, order_score: 4.0, env_score: 12.0]
Log Sequence 113: [point_score: 0.0, order_score: 0.0, env_score: 4.0]
Log Sequence 114: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
Log Sequence 115: [point_score: 0.0, order_score: 2.0, env_score: 4.0]
Log Sequence 116: [point_score: 0.0, order_score: 1.2499188717643277, env_score: 0.0]
Log Sequence 117: [point_score: 0.0, order_score: 3.0, env_score: 0.0]
Log Sequence 118: [point_score: 0.0, order_score: 1.0, env_score: 0.0]
